,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,taywarah,33.35,33.35,10.82,28,12,0.89,AF,1650939072
163,padang,-0.9492,-0.9492,26.03,80,100,1.35,ID,1650939178
164,brae,60.3964,60.3964,6.54,70,100,6.86,GB,1650939179
165,georgetown,5.4112,5.4112,29.97,79,20,0.0,MY,1650938931
166,flinders,-34.5833,-34.5833,21.32,79,100,3.13,AU,1650939182
167,coahuayana,18.7333,18.7333,21.63,85,31,0.93,MX,1650939183
168,acajutla,13.5928,13.5928,27.46,78,62,2.74,SV,1650939185
169,pontianak,-0.0333,-0.0333,27.99,83,20,2.57,ID,1650939186
170,port blair,11.6667,11.6667,29.69,67,100,1.58,IN,1650939016
171,ambilobe,-13.2,-13.2,21.23,85,11,1.91,MG,1650939191
172,ketchikan,55.3422,55.3422,9.26,66,40,6.69,US,1650939155
173,longyearbyen,78.2186,78.2186,-25.37,94,50,1.23,SJ,1650939193
174,port elizabeth,-33.918,-33.918,14.06,82,0,3.13,ZA,1650939195
175,viedma,-40.8135,-40.8135,13.69,34,100,5.78,AR,1650939196
176,pedernales,18.0384,18.0384,25.48,73,10,2.01,DO,1650939197
177,kruisfontein,-34.0033,-34.0033,9.38,84,0,3.24,ZA,1650939201
178,salalah,17.0151,17.0151,27.05,74,40,2.06,OM,1650939203
179,ostrovnoy,68.0531,68.0531,-0.32,97,100,2.03,RU,1650938983
180,priiskovyy,51.9333,51.9333,4.13,52,100,4.12,RU,1650939205
181,duluth,46.7833,46.7833,-0.4,67,100,5.66,US,1650939098
182,honiara,-9.4333,-9.4333,30.27,67,42,2.21,SB,1650939208
183,upernavik,72.7868,72.7868,-11.99,90,53,2.05,GL,1650939062
184,srednekolymsk,67.45,67.45,-6.42,83,100,3.65,RU,1650939210
185,tiarei,-17.5333,-17.5333,29.01,73,12,4.57,PF,1650939212
186,caxito,-8.5785,-8.5785,22.74,98,100,0.78,AO,1650939213
187,makasar,-5.14,-5.14,29.03,84,20,1.54,ID,1650939047
188,hilo,19.7297,19.7297,26.27,78,100,2.57,US,1650939217
189,birin,26.8865,26.8865,20.62,51,0,1.59,NP,1650939218
190,toro,4.6117,4.6117,20.38,93,85,0.74,CO,1650939219
191,sayyan,15.1718,15.1718,14.49,56,11,1.37,YE,1650939221
192,nome,64.5011,64.5011,2.87,80,100,3.09,US,1650939223
193,wajir,1.7471,1.7471,26.28,75,83,5.9,KE,1650939225
194,bridlington,54.0831,54.0831,5.0,84,16,4.04,GB,1650939226
195,nouadhibou,20.931,20.931,18.37,91,31,6.45,MR,1650939208
196,bela,25.9333,25.9333,34.19,13,0,1.96,IN,1650939229
197,istok,42.7808,42.7808,9.64,78,51,1.19,XK,1650939230
198,svencionys,55.15,55.15,6.17,87,100,2.26,LT,1650939231
199,grindavik,63.8424,63.8424,6.26,87,100,1.54,IS,1650939233
200,avallon,47.4833,47.4833,6.06,88,79,1.18,FR,1650939234
201,xihe,31.6864,31.6864,24.53,62,13,1.63,CN,1650939237
202,ligayan,4.6533,4.6533,29.08,68,88,3.18,PH,1650939238
203,ancud,-41.8697,-41.8697,9.57,81,100,10.55,CL,1650939053
204,ola,59.5833,59.5833,1.75,57,100,4.89,RU,1650939240
205,carrollton,32.9537,32.9537,18.24,53,40,4.63,US,1650939200
206,koppang,61.5706,61.5706,-0.28,82,15,3.04,NO,1650939243
207,stykkisholmur,65.0757,65.0757,5.44,75,98,2.13,IS,1650939244
208,jalu,29.0331,29.0331,23.05,20,100,4.22,LY,1650939187
209,chokurdakh,70.6333,70.6333,-10.14,87,21,1.46,RU,1650939247
210,cayenne,4.9333,4.9333,25.61,1,75,0.0,GF,1650939248
211,thompson,55.7435,55.7435,-8.16,90,100,1.25,CA,1650939251
212,road town,18.4167,18.4167,24.05,70,7,6.03,VG,1650939252
213,tezpur,26.6333,26.6333,26.18,66,17,3.25,IN,1650939254
214,vallenar,-28.5708,-28.5708,16.56,64,0,0.94,CL,1650939255
215,bambous virieux,-20.3428,-20.3428,24.14,83,75,5.14,MU,1650939257
216,cherniyiv,48.8566,48.8566,7.05,89,29,1.16,UA,1650939258
217,lagoa,39.05,39.05,14.46,71,95,5.17,PT,1650939259
218,airai,-8.9266,-8.9266,23.12,41,98,0.89,TL,1650939261
219,lavrentiya,65.5833,65.5833,-2.45,78,95,3.28,RU,1650939262
220,jais,26.25,26.25,34.09,13,0,2.25,IN,1650939263
221,leningradskiy,69.3833,69.3833,-5.73,89,89,6.2,RU,1650939265
222,peniche,39.3558,39.3558,14.5,89,66,4.08,PT,1650939266
223,sendhwa,21.6833,21.6833,30.66,17,0,2.89,IN,1650939268
224,cidreira,-30.1811,-30.1811,19.89,94,100,7.18,BR,1650939076
225,peleduy,59.6289,59.6289,1.11,74,100,4.06,RU,1650939270
226,tiznit,29.5833,29.5833,11.95,87,93,2.71,MA,1650939271
227,catemaco,18.4167,18.4167,24.46,73,52,2.91,MX,1650939273
228,kandrian,-6.2167,-6.2167,30.05,67,99,2.24,PG,1650939274
229,fort-shevchenko,44.5086,44.5086,16.14,52,3,4.97,KZ,1650939275
230,kanigoro,-8.13,-8.13,28.91,70,78,1.56,ID,1650939277
231,koksovyy,48.1967,48.1967,13.02,73,98,1.93,RU,1650939278
232,vryburg,-26.9566,-26.9566,7.55,44,0,1.96,ZA,1650939280
233,nuuk,64.1835,64.1835,-0.66,86,75,4.63,GL,1650939282
234,mount darwin,-16.7725,-16.7725,18.12,92,71,1.27,ZW,1650939284
235,grenfell,-33.9,-33.9,19.88,47,100,3.37,AU,1650939285
236,katsuura,35.1333,35.1333,21.01,85,100,7.11,JP,1650939286
237,warrington,53.3925,53.3925,8.77,81,55,4.12,GB,1650938993
238,mehamn,71.0357,71.0357,-5.69,66,100,13.34,NO,1650939289
239,kuandian,40.7286,40.7286,13.16,83,100,2.24,CN,1650939290
240,codrington,-38.2667,-38.2667,22.07,42,100,5.19,AU,1650939229
241,asadabad,34.7824,34.7824,10.08,92,100,0.7,IR,1650939293
242,cruzeiro,-22.5761,-22.5761,18.67,95,2,1.29,BR,1650939294
243,lodja,-3.4833,-3.4833,20.76,100,100,0.44,CD,1650939261
244,barao de melgaco,-16.1944,-16.1944,25.56,65,0,1.43,BR,1650939297
245,coquimbo,-29.9533,-29.9533,13.85,94,100,0.51,CL,1650939298
246,grand-lahou,5.1367,5.1367,26.18,88,22,2.36,CI,1650939300
247,omboue,-1.5746,-1.5746,25.17,92,100,1.83,GA,1650939301
248,balkanabat,39.5108,39.5108,22.01,26,100,5.64,TM,1650939302
249,muli,2.9167,2.9167,28.9,68,100,2.08,MV,1650939304
250,vestnes,62.6264,62.6264,4.28,75,75,1.03,NO,1650939305
251,ha giang,22.8333,22.8333,28.34,79,76,1.41,VN,1650939307
252,uige,-7.6087,-7.6087,19.67,96,95,1.31,AO,1650939308
253,kita,13.0349,13.0349,28.76,19,69,1.94,ML,1650939309
254,deputatskiy,69.3,69.3,-10.21,84,100,1.1,RU,1650939311
255,khanpur,28.6453,28.6453,29.99,15,0,1.75,PK,1650939312
256,lucapa,-8.4192,-8.4192,19.97,92,100,1.19,AO,1650939314
257,fort nelson,58.8053,58.8053,1.79,100,100,1.51,CA,1650939218
258,lincoln,40.8,40.8,9.45,34,0,2.57,US,1650939117
259,chakia,26.4167,26.4167,29.93,45,0,5.97,IN,1650939317
260,virginia beach,36.8529,36.8529,23.03,73,40,3.09,US,1650939061
261,hamilton,39.1834,39.1834,15.69,77,100,3.09,US,1650939245
262,vostok,46.4856,46.4856,14.03,54,94,1.87,RU,1650939198
263,umm kaddadah,13.6017,13.6017,27.27,13,100,2.96,SD,1650939322
264,itarema,-2.9248,-2.9248,25.27,87,85,3.98,BR,1650939325
265,ilabaya,-17.4208,-17.4208,18.88,62,100,0.41,PE,1650939326
266,rocha,-34.4833,-34.4833,17.57,98,100,1.83,UY,1650939149
267,amazar,53.858,53.858,5.07,41,100,3.43,RU,1650939330
268,kavieng,-2.5744,-2.5744,29.5,67,7,4.55,PG,1650939331
269,jumla,29.2747,29.2747,16.03,33,0,0.49,NP,1650939333
270,vila velha,-20.3297,-20.3297,24.41,84,0,0.51,BR,1650939104
271,contamana,-7.3333,-7.3333,23.33,87,21,0.83,PE,1650939335
272,babu,24.4167,24.4167,27.86,80,79,2.37,CN,1650939336
273,poya,-21.35,-21.35,26.64,53,89,4.4,NC,1650939338
274,clyde river,70.4692,70.4692,-12.87,92,100,8.75,CA,1650939339
275,andenes,69.3143,69.3143,-3.01,86,100,11.83,NO,1650939049
276,broome,42.2506,42.2506,14.65,71,0,5.66,US,1650939342
277,tucuma,-0.1833,-0.1833,24.33,93,85,2.35,BR,1650939343
278,torez,48.0388,48.0388,12.16,79,100,0.46,UA,1650939346
279,tarakan,3.3,3.3,27.72,78,20,3.6,ID,1650939347
280,zhaotong,27.3167,27.3167,15.29,70,87,0.42,CN,1650939350
281,barra patuca,15.8,15.8,26.21,79,3,4.91,HN,1650939351
282,ginir,7.1333,7.1333,13.53,91,100,2.07,ET,1650939352
283,erzin,36.9559,36.9559,17.59,41,0,0.98,TR,1650939354
284,byron bay,-28.65,-28.65,22.94,73,100,2.74,AU,1650939355
285,buraydah,26.326,26.326,23.44,40,30,6.15,SA,1650939069
286,tabou,4.423,4.423,25.48,86,67,1.9,CI,1650939357
287,kulhudhuffushi,6.6221,6.6221,29.05,71,93,1.49,MV,1650939359
288,cacahuatepec,16.8861,16.8861,25.76,64,6,1.63,MX,1650939360
289,the valley,18.217,18.217,25.05,66,6,5.61,AI,1650939362
290,kidal,18.4411,18.4411,25.63,19,0,4.7,ML,1650939363
291,manaus,-3.1019,-3.1019,27.28,94,0,1.54,BR,1650939365
292,kuloy,61.0305,61.0305,5.26,97,100,3.52,RU,1650939366
293,alice springs,-23.7,-23.7,22.75,53,60,3.09,AU,1650939233
294,pergamino,-33.89,-33.89,16.72,92,9,3.49,AR,1650939123
295,brownsville,25.9018,25.9018,26.16,88,100,5.66,US,1650939305
296,gwanda,-20.9333,-20.9333,17.93,73,6,1.86,ZW,1650939373
297,alofi,-19.0595,-19.0595,24.94,94,100,3.09,NU,1650939374
298,puerto ayacucho,5.6639,5.6639,23.94,93,98,2.18,VE,1650939376
299,riyadh,24.6877,24.6877,21.08,46,100,3.98,SA,1650939198
300,berlevag,70.8578,70.8578,-6.11,76,99,13.57,NO,1650939378
301,laguna,38.421,38.421,25.08,43,0,5.14,US,1650939342
302,marsh harbour,26.5412,26.5412,23.46,69,0,7.31,BS,1650939206
303,pimenta bueno,-11.6725,-11.6725,23.22,94,7,1.06,BR,1650939382
304,the pas,53.8251,53.8251,-2.99,36,0,1.54,CA,1650939384
305,mahibadhoo,3.7833,3.7833,28.89,70,94,2.03,MV,1650939385
306,awjilah,29.1081,29.1081,23.33,21,100,4.32,LY,1650939386
307,kichera,55.9375,55.9375,-1.37,72,86,2.66,RU,1650939388
308,kharan,28.5833,28.5833,26.69,18,6,1.1,PK,1650939390
309,mandalgovi,45.7625,45.7625,-2.16,23,12,5.89,MN,1650939219
310,sur,22.5667,22.5667,29.34,41,0,4.53,OM,1650939290
311,namibe,-15.1961,-15.1961,22.52,69,100,2.54,AO,1650939394
312,biak,-0.9131,-0.9131,28.33,72,19,1.35,ID,1650939395
313,camacha,33.0833,33.0833,14.68,77,40,4.63,PT,1650939211
314,kinna,57.5073,57.5073,4.63,83,20,1.11,SE,1650939398
315,klobuck,50.9008,50.9008,6.36,92,100,2.17,PL,1650939399
316,cape coast,5.1053,5.1053,26.69,85,92,1.63,GH,1650939401
317,olafsvik,64.8945,64.8945,5.56,83,88,1.9,IS,1650939131
318,jati,24.3539,24.3539,27.27,72,0,5.6,PK,1650939188
319,ocos,14.5094,14.5094,26.1,67,97,3.23,GT,1650939404
320,yerbogachen,61.2767,61.2767,0.16,85,100,2.35,RU,1650939135
321,hvide sande,56.0045,56.0045,3.38,86,8,4.19,DK,1650939407
322,chuy,-33.6971,-33.6971,18.32,99,68,0.7,UY,1650939196
323,berbera,10.4396,10.4396,28.7,72,94,1.81,SO,1650939409
324,aloleng,16.1307,16.1307,31.55,59,58,2.11,PH,1650939372
325,merauke,-8.4667,-8.4667,30.14,64,12,0.77,ID,1650939236
326,ust-nera,64.5667,64.5667,-5.96,80,95,1.71,RU,1650939413
327,imeni poliny osipenko,52.4201,52.4201,1.76,84,100,3.5,RU,1650939414
328,yar-sale,66.8333,66.8333,-5.89,98,89,1.57,RU,1650939416
329,darnah,32.767,32.767,16.56,63,99,1.59,LY,1650939417
330,bima,-8.4667,-8.4667,29.99,57,100,0.65,ID,1650939231
331,bac lieu,9.285,9.285,30.03,64,97,2.4,VN,1650939420
332,springfield,37.2153,37.2153,11.24,67,0,3.09,US,1650939246
333,pochutla,15.7432,15.7432,27.12,68,30,2.24,MX,1650939422
334,staroye drozhzhanoye,54.7266,54.7266,10.6,84,100,5.18,RU,1650939425
335,los llanos de aridane,28.6585,28.6585,15.86,85,0,3.6,ES,1650939426
336,grand gaube,-20.0064,-20.0064,24.22,71,57,9.08,MU,1650939427
337,manakara,-22.1333,-22.1333,20.21,92,33,2.18,MG,1650939429
338,ballina,-28.8667,-28.8667,22.1,81,100,2.55,AU,1650939142
339,pastavy,55.1168,55.1168,7.16,74,100,2.46,BY,1650939431
340,chapais,49.7834,49.7834,3.88,99,100,2.66,CA,1650939433
341,rawson,-43.3002,-43.3002,14.1,36,90,14.05,AR,1650939434
342,sahuaripa,29.05,29.05,27.63,12,0,2.73,MX,1650939436
343,provideniya,64.3833,64.3833,-1.94,74,75,9.0,RU,1650939438
344,cradock,-32.1642,-32.1642,7.51,86,0,0.79,ZA,1650939439
345,plettenberg bay,-34.0527,-34.0527,12.5,78,0,3.16,ZA,1650939441
346,beloha,-25.1667,-25.1667,22.51,74,96,2.08,MG,1650939442
347,santiago del estero,-27.7951,-27.7951,24.96,70,37,1.79,AR,1650939444
348,turukhansk,65.8167,65.8167,-7.51,85,18,2.21,RU,1650939445
349,rumoi,43.9344,43.9344,16.26,61,100,4.16,JP,1650939447
350,porvoo,60.3923,60.3923,4.02,91,66,2.74,FI,1650939448
351,pingliang,35.5392,35.5392,20.0,32,99,3.39,CN,1650939449
352,roslyakovo,69.043,69.043,-2.6,82,100,8.23,RU,1650939451
353,kudahuvadhoo,2.6708,2.6708,28.83,69,21,2.24,MV,1650939452
354,sola,-13.8833,-13.8833,27.1,76,82,7.63,VU,1650939409
355,vanderhoof,54.0166,54.0166,7.6,62,100,0.85,CA,1650939455
356,bucerias,20.75,20.75,23.99,83,0,3.09,MX,1650939318
357,luderitz,-26.6481,-26.6481,15.35,51,0,4.72,NA,1650939459
358,teya,60.3778,60.3778,0.31,79,94,3.52,RU,1650939460
359,namatanai,-3.6667,-3.6667,29.62,64,91,2.89,PG,1650939461
360,baykit,61.67,61.67,-1.79,92,100,1.97,RU,1650939463
361,husavik,66.0449,66.0449,5.08,86,100,0.79,IS,1650939464
362,boa esperanca,-21.09,-21.09,17.96,91,4,1.9,BR,1650939465
363,mae chan,20.1467,20.1467,32.6,35,2,0.36,TH,1650939467
364,nelson bay,-32.7167,-32.7167,21.67,84,100,2.45,AU,1650939468
365,amahai,-3.3333,-3.3333,29.2,71,60,1.39,ID,1650939470
366,luwuk,-0.9516,-0.9516,29.51,74,23,1.3,ID,1650939471
367,ust-tsilma,65.441,65.441,0.71,93,100,2.47,RU,1650939472
368,zabaykalsk,49.6333,49.6333,1.91,83,98,7.04,RU,1650939474
369,kodinsk,58.6881,58.6881,1.02,83,100,4.02,RU,1650939475
